順位,選手名,チーム,打率,試合,打席数,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,敬遠,死球,三振,併殺打,出塁率,長打率,year
299,大﨑　雄太朗,西武,0.0,4,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.167,0.0,2016
299,石川　駿,中日,0.0,2,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0.0,0.0,2016
299,武山　真吾,中日,0.0,15,5,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0.2,0.0,2016
299,金子　圭輔,ソフトバンク,0.0,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0,0.0,2016
299,鶴岡　一成,阪神,0.0,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2016
299,宗　佑磨,オリックス,0.0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,2016
299,白根　尚貴,DeNA,0.0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,2016
299,清水　誉,阪神,0.0,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0.0,2016
299,溝脇　隼人,中日,0.0,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
299,西森　将司,DeNA,0.0,6,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,2016
299,杉本　裕太郎,オリックス,0.0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,2016
299,伊志嶺　翔大,ロッテ,0.0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
299,庄司　隼人,広島,0.0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2016
299,森越　祐人,阪神,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2016
299,井野　卓,ヤクルト,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2016
299,廣瀬　純,広島,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
299,塚田　正義,ソフトバンク,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2016
299,加藤　匠馬,中日,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
299,堤　裕貴,オリックス,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,2016
299,釜元　豪,ソフトバンク,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,2016
299,赤田　龍一郎,中日,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
299,上本　崇司,広島,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
299,加藤　健,巨人,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
299,白濱　裕太,広島,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
299,小宮山　慎二,阪神,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
299,齋藤　俊雄,オリックス,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
299,植田　海,阪神,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,2016
299,岸里　亮佑,日本ハム,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
299,石川　亮,日本ハム,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
299,米野　智人,日本ハム,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
299,田中　大輔,オリックス,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2016
1,村林　一輝,楽天,0.5,1,3,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0.667,0.5,2017
1,斐紹,ソフトバンク,0.5,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2017
1,茶谷　健太,ソフトバンク,0.5,1,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2017
4,坂田　遼,西武,0.438,11,19,16,2,7,0,0,2,13,4,0,0,0,0,3,0,0,8,0,0.526,0.813,2017
5,近藤　健介,日本ハム,0.413,57,231,167,32,69,15,0,3,93,29,3,0,0,2,60,0,2,27,3,0.567,0.557,2017
6,細川　成也,DeNA,0.4,2,6,5,2,2,0,0,2,8,4,0,0,0,0,1,0,0,3,0,0.5,1.6,2017
6,白濱　裕太,広島,0.4,3,5,5,0,2,1,0,0,3,0,1,0,0,0,0,0,0,2,0,0.4,0.6,2017
8,岩本　貴裕,広島,0.375,33,50,48,5,18,4,0,1,25,13,0,0,1,0,1,0,0,15,2,0.388,0.521,2017
9,石川　駿,中日,0.353,9,17,17,1,6,0,0,1,9,1,0,0,0,0,0,0,0,5,0,0.353,0.529,2017
10,宇佐見　真吾,巨人,0.35,21,45,40,6,14,0,0,4,26,8,0,0,0,0,3,0,2,14,0,0.422,0.65,2017
11,森　友哉,西武,0.339,38,145,124,16,42,8,3,2,62,18,3,1,0,0,21,0,0,24,4,0.434,0.5,2017
12,庄司　隼人,広島,0.333,6,6,3,1,1,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0.5,0.333,2017
12,牧原　大成,ソフトバンク,0.333,10,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,2017
14,大谷　翔平,日本ハム,0.332,65,231,202,24,67,16,1,8,109,31,0,1,0,3,24,0,2,63,0,0.403,0.54,2017
15,松山　竜平,広島,0.326,120,387,350,39,114,23,4,14,187,77,0,0,0,6,31,0,0,45,8,0.375,0.534,2017
16,宮﨑　敏郎,DeNA,0.323,128,523,480,53,155,28,1,15,230,62,0,0,0,1,38,1,4,47,23,0.377,0.479,2017
17,秋山　翔吾,西武,0.322,143,659,575,106,185,38,5,25,308,89,16,5,0,7,72,1,5,97,4,0.398,0.536,2017
18,鶴岡　慎也,ソフトバンク,0.321,29,32,28,6,9,0,0,3,18,5,0,0,1,0,3,0,0,3,1,0.387,0.643,2017
19,マギー,巨人,0.315,139,586,523,67,165,48,1,18,269,77,4,1,0,4,58,4,1,107,20,0.382,0.514,2017
20,大島　洋平,中日,0.313,119,521,476,50,149,20,3,3,184,29,23,6,1,3,37,0,4,66,5,0.365,0.387,2017
21,吉田　正尚,オリックス,0.311,64,268,228,42,71,11,0,12,118,38,1,1,0,1,38,2,1,32,9,0.41,0.518,2017
22,柳田　悠岐,ソフトバンク,0.31,130,551,448,95,139,30,1,31,264,99,14,7,0,7,89,8,7,123,6,0.426,0.589,2017
22,安部　友裕,広島,0.31,123,455,413,63,128,17,4,4,165,49,17,5,12,1,27,1,2,94,3,0.354,0.4,2017
24,俊介,阪神,0.309,74,202,191,26,59,15,1,4,88,23,1,0,2,0,9,0,0,33,1,0.34,0.461,2017
25,丸　佳浩,広島,0.308,143,651,556,109,171,35,3,23,281,92,13,3,2,6,83,0,4,113,6,0.398,0.505,2017
26,雄平,ヤクルト,0.306,71,300,281,29,86,21,0,2,113,32,2,3,0,2,12,0,5,42,5,0.343,0.402,2017
27,ロペス,DeNA,0.301,142,606,569,72,171,42,0,30,303,105,0,0,0,8,27,0,2,80,14,0.33,0.533,2017
28,鈴木　誠也,広島,0.3,115,512,437,85,131,28,1,26,239,90,16,6,0,7,62,0,6,80,12,0.389,0.547,2017
28,オコエ　瑠偉,楽天,0.3,41,141,130,21,39,17,0,3,65,11,5,2,5,0,3,0,3,38,3,0.331,0.5,2017
30,山川　穂高,西武,0.298,78,293,242,46,72,19,0,23,160,61,0,1,0,0,46,1,5,72,7,0.42,0.661,2017
31,内川　聖一,ソフトバンク,0.297,73,300,266,31,79,13,0,12,128,50,0,1,0,2,32,0,0,26,9,0.37,0.481,2017
32,西川　遥輝,日本ハム,0.296,138,623,541,82,160,26,6,9,225,44,39,5,6,3,69,0,4,103,6,0.378,0.416,2017
32,茂木　栄五郎,楽天,0.296,103,450,398,64,118,25,2,17,198,47,3,2,4,1,45,1,2,84,4,0.37,0.497,2017
34,武田　健吾,オリックス,0.295,97,219,207,19,61,8,0,2,75,14,0,0,4,0,5,0,3,47,3,0.321,0.362,2017
35,銀次,楽天,0.293,143,590,529,55,155,30,0,3,194,60,2,1,1,2,56,1,2,74,11,0.362,0.367,2017
35,鳥谷　敬,阪神,0.293,143,570,488,57,143,23,3,4,184,41,8,7,1,2,77,3,2,62,13,0.39,0.377,2017
37,新井　貴浩,広島,0.292,100,288,243,36,71,14,0,9,112,48,2,0,0,4,40,0,1,56,7,0.389,0.461,2017
38,浅村　栄斗,西武,0.291,143,633,574,78,167,34,1,19,260,99,5,1,1,6,44,0,8,96,17,0.347,0.453,2017
38,坂本　勇人,巨人,0.291,142,614,539,82,157,30,0,15,232,61,14,6,1,3,68,2,3,85,16,0.372,0.43,2017
40,田中　広輔,広島,0.29,143,679,565,105,164,32,5,8,230,60,35,13,6,4,89,2,15,120,5,0.398,0.407,2017
40,坂口　智隆,ヤクルト,0.29,136,607,535,51,155,16,2,4,187,38,4,3,5,3,59,2,5,76,6,0.364,0.35,2017
40,糸井　嘉男,阪神,0.29,114,493,427,60,124,16,0,17,191,62,21,6,0,2,59,0,5,62,12,0.381,0.447,2017
40,マレーロ,オリックス,0.29,82,319,283,39,82,15,1,20,159,50,1,0,0,2,29,1,5,84,6,0.364,0.562,2017
44,亀澤　恭平,中日,0.287,98,290,254,31,73,5,0,2,84,13,6,6,18,2,13,0,3,30,1,0.327,0.331,2017
45,中島　宏之,オリックス,0.285,124,489,431,36,123,19,0,9,169,49,0,0,0,5,46,0,7,93,11,0.36,0.392,2017
46,筒香　嘉智,DeNA,0.284,139,601,503,85,143,31,0,28,258,94,1,0,0,3,93,3,2,115,7,0.396,0.513,2017
46,上本　博紀,阪神,0.284,125,488,409,57,116,20,1,9,165,38,16,1,23,2,50,0,4,71,7,0.366,0.403,2017
48,ペゲーロ,楽天,0.281,120,517,463,67,130,17,1,26,227,75,3,2,0,0,50,3,4,139,16,0.356,0.49,2017
49,大和,阪神,0.28,100,252,232,25,65,6,0,1,74,16,2,3,1,1,18,0,0,37,5,0.331,0.319,2017
49,水口　大地,西武,0.28,56,51,50,17,14,3,0,0,17,4,5,4,0,0,1,0,0,6,1,0.294,0.34,2017
51,ゲレーロ,中日,0.279,130,510,469,67,131,22,3,35,264,86,1,0,0,2,24,0,15,98,13,0.333,0.563,2017
51,明石　健志,ソフトバンク,0.279,103,339,290,37,81,10,3,1,100,23,5,6,15,3,30,1,1,57,3,0.346,0.345,2017
53,植田　海,阪神,0.278,13,22,18,5,5,0,0,0,5,0,1,1,3,0,1,0,0,6,0,0.316,0.278,2017
54,小谷野　栄一,オリックス,0.277,130,506,470,41,130,14,1,6,164,47,0,0,3,2,28,0,3,60,13,0.32,0.349,2017
54,松井　佑介,中日,0.277,56,129,119,17,33,7,0,4,52,18,0,0,1,0,6,1,3,38,2,0.328,0.437,2017
56,モレル,オリックス,0.276,38,110,98,9,27,8,0,1,38,11,0,2,0,0,12,0,0,28,3,0.355,0.388,2017
56,黒羽根　利規,日本ハム,0.276,19,30,29,1,8,2,0,0,10,1,0,0,1,0,0,0,0,6,0,0.276,0.345,2017
58,會澤　翼,広島,0.275,106,329,287,35,79,15,0,6,112,35,0,0,10,3,22,1,7,45,12,0.339,0.39,2017
58,中村　奨吾,ロッテ,0.275,85,312,280,32,77,13,2,9,121,32,11,3,5,1,20,1,6,63,5,0.336,0.432,2017
58,西川　龍馬,広島,0.275,95,220,204,23,56,10,2,5,85,27,4,1,3,2,10,0,1,35,4,0.309,0.417,2017
61,松本　剛,日本ハム,0.274,115,448,402,46,110,17,0,5,142,33,6,3,21,1,21,1,3,61,7,0.314,0.353,2017
61,ロメロ,オリックス,0.274,103,424,390,55,107,13,0,26,198,66,2,1,0,1,27,0,6,98,12,0.33,0.508,2017
63,吉川　尚輝,巨人,0.273,5,12,11,1,3,0,0,0,3,0,1,0,1,0,0,0,0,2,0,0.273,0.273,2017
64,金子　侑司,西武,0.272,90,320,283,43,77,17,2,5,113,34,25,8,5,4,27,0,1,49,5,0.333,0.399,2017
65,菊池　涼介,広島,0.271,138,629,565,87,153,28,3,14,229,56,8,7,30,1,32,0,1,107,9,0.311,0.405,2017
65,ウィーラー,楽天,0.271,142,605,542,75,147,27,0,31,267,82,7,3,0,3,50,4,10,98,14,0.342,0.493,2017
65,福田　永将,中日,0.271,95,326,299,37,81,19,0,18,154,49,0,1,0,1,21,0,5,70,4,0.328,0.515,2017
68,源田　壮亮,西武,0.27,143,647,575,85,155,18,10,3,202,57,37,10,26,4,36,0,6,100,5,0.317,0.351,2017
68,中村　晃,ソフトバンク,0.27,143,600,511,66,138,19,2,6,179,42,3,5,14,5,67,0,3,57,5,0.355,0.35,2017
68,宮﨑　祐樹,オリックス,0.27,52,146,137,9,37,7,2,2,54,13,0,1,1,1,6,0,1,32,0,0.303,0.394,2017
71,桑原　将志,DeNA,0.269,143,664,598,87,161,38,5,13,248,52,10,11,10,0,45,0,11,116,8,0.332,0.415,2017
71,角中　勝也,ロッテ,0.269,110,452,383,44,103,17,4,8,152,44,6,1,1,2,62,4,4,44,6,0.375,0.397,2017
73,阿部　寿樹,中日,0.268,21,46,41,3,11,1,0,0,12,2,1,0,1,0,4,0,0,13,0,0.333,0.293,2017
74,橋本　到,巨人,0.267,78,139,120,19,32,7,1,1,44,6,3,2,6,1,11,0,1,30,2,0.331,0.367,2017
74,今浪　隆博,ヤクルト,0.267,7,17,15,1,4,1,1,0,7,2,0,0,1,0,1,0,0,0,0,0.313,0.467,2017
76,Ｔ－岡田,オリックス,0.266,143,593,504,77,134,19,0,31,246,68,2,1,0,1,83,1,5,141,10,0.374,0.488,2017
76,加藤　翔平,ロッテ,0.266,98,292,271,24,72,12,5,5,109,27,7,4,12,2,6,0,1,44,2,0.282,0.402,2017
78,島内　宏明,楽天,0.265,143,577,494,62,131,14,3,14,193,47,3,6,12,3,64,0,4,67,8,0.352,0.391,2017
78,藤井　淳志,中日,0.265,128,408,374,29,99,18,3,6,141,42,5,6,6,2,24,0,2,96,6,0.311,0.377,2017
78,エルドレッド,広島,0.265,116,405,344,40,91,11,0,27,183,78,0,0,0,3,50,0,8,111,8,0.368,0.532,2017
81,今宮　健太,ソフトバンク,0.264,141,623,526,78,139,27,7,14,222,64,15,4,52,3,38,0,4,93,12,0.317,0.422,2017
81,京田　陽太,中日,0.264,141,602,564,67,149,23,8,4,200,36,23,13,10,1,18,0,9,105,5,0.297,0.355,2017
81,松田　宣浩,ソフトバンク,0.264,143,577,531,64,140,19,6,24,243,71,5,2,0,2,43,2,1,128,16,0.319,0.458,2017
81,荻野　貴司,ロッテ,0.264,103,394,356,53,94,22,1,5,133,24,26,3,10,1,25,0,2,44,6,0.315,0.374,2017
81,陽　岱鋼,巨人,0.264,87,381,330,46,87,18,1,9,134,33,4,2,2,1,41,0,7,80,6,0.356,0.406,2017
81,川島　慶三,ソフトバンク,0.264,81,137,110,23,29,7,0,5,51,13,2,2,6,1,18,0,2,24,1,0.374,0.464,2017
87,福留　孝介,阪神,0.263,127,526,441,68,116,20,3,18,196,79,1,2,1,4,77,1,3,92,17,0.373,0.444,2017
88,デスパイネ,ソフトバンク,0.262,136,545,478,66,125,15,0,35,245,103,3,1,0,3,59,2,5,119,14,0.347,0.513,2017
88,倉本　寿彦,DeNA,0.262,143,539,507,49,133,27,1,2,168,50,3,1,9,1,18,0,4,102,10,0.292,0.331,2017
88,阿部　慎之助,巨人,0.262,129,512,455,41,119,13,0,15,177,76,0,1,1,7,41,1,8,67,13,0.329,0.389,2017
88,村田　修一,巨人,0.262,118,424,381,41,100,19,0,14,161,58,0,0,1,2,34,0,6,63,15,0.331,0.423,2017
92,長野　久義,巨人,0.261,134,516,463,52,121,20,3,16,195,46,6,0,1,1,46,2,5,98,17,0.334,0.421,2017
92,伊藤　隼太,阪神,0.261,73,73,69,9,18,2,0,2,26,9,0,1,0,0,4,0,0,16,1,0.301,0.377,2017
94,鈴木　大地,ロッテ,0.26,143,588,508,56,132,27,5,11,202,52,6,5,3,4,55,1,18,85,7,0.35,0.398,2017
94,上林　誠知,ソフトバンク,0.26,134,453,415,54,108,23,5,13,180,51,12,12,10,2,24,2,2,96,3,0.302,0.434,2017
94,岡島　豪郎,楽天,0.26,111,400,342,51,89,13,5,3,121,32,3,2,10,5,41,0,2,65,6,0.338,0.354,2017
97,糸原　健斗,阪神,0.259,66,193,162,18,42,13,0,1,58,24,1,0,5,0,23,0,3,26,1,0.362,0.358,2017
98,外崎　修汰,西武,0.258,135,489,438,65,113,22,3,10,171,48,23,3,10,3,33,0,5,109,4,0.315,0.39,2017
98,大田　泰示,日本ハム,0.258,118,457,427,41,110,21,1,15,178,46,5,2,0,2,28,0,0,88,14,0.302,0.417,2017
100,藤井　亮太,ヤクルト,0.257,97,309,292,20,75,3,0,2,84,12,5,3,6,1,9,0,1,56,6,0.281,0.288,2017
101,バティスタ,広島,0.256,61,143,125,21,32,5,0,11,70,26,0,0,0,2,15,0,1,44,3,0.336,0.56,2017
102,バレンティン,ヤクルト,0.254,125,519,445,60,113,14,1,32,225,80,0,1,0,1,70,0,3,112,18,0.358,0.506,2017
103,栗山　巧,西武,0.252,116,374,333,28,84,13,0,9,124,46,0,0,4,7,27,0,3,64,10,0.308,0.372,2017
103,田中　賢介,日本ハム,0.252,107,349,314,22,79,6,1,2,93,18,11,4,0,0,35,1,0,36,4,0.327,0.296,2017
103,藤田　一也,楽天,0.252,102,315,270,28,68,9,2,3,90,33,2,1,25,3,16,1,1,21,8,0.293,0.333,2017
103,ロジャース,阪神,0.252,40,140,123,15,31,7,0,5,53,23,0,0,0,2,15,0,0,26,6,0.329,0.431,2017
107,炭谷　銀仁朗,西武,0.251,104,310,267,32,67,11,0,5,93,30,2,1,23,4,8,0,8,45,6,0.289,0.348,2017
107,亀井　善行,巨人,0.251,109,277,247,20,62,16,0,6,96,47,1,0,0,2,27,1,1,38,4,0.325,0.389,2017
109,ビシエド,中日,0.25,87,367,332,43,83,11,1,18,150,49,4,0,0,1,29,0,5,52,10,0.319,0.452,2017
109,髙山　俊,阪神,0.25,103,353,328,40,82,15,3,6,121,24,6,3,0,1,21,0,3,77,3,0.3,0.369,2017
109,聖澤　諒,楽天,0.25,111,252,232,29,58,14,2,1,79,21,2,1,2,1,13,0,4,50,2,0.3,0.341,2017
109,サントス,ロッテ,0.25,66,193,180,22,45,10,0,3,64,8,5,4,5,0,7,0,1,46,2,0.282,0.356,2017
109,今江　年晶,楽天,0.25,51,135,128,11,32,7,1,1,44,10,0,0,1,0,6,0,0,26,3,0.284,0.344,2017
109,脇谷　亮太,巨人,0.25,52,68,64,7,16,0,0,0,16,0,0,0,1,0,3,0,0,14,2,0.284,0.25,2017
109,エリアン,DeNA,0.25,25,62,56,9,14,1,0,1,18,1,0,0,0,0,6,0,0,22,2,0.323,0.321,2017
109,髙城　俊人,DeNA,0.25,29,61,56,11,14,0,3,0,20,4,0,1,2,0,3,0,0,15,1,0.288,0.357,2017
109,辻　東倫,巨人,0.25,18,36,32,3,8,0,0,0,8,1,1,0,0,0,4,0,0,7,1,0.333,0.25,2017
109,廣岡　大志,ヤクルト,0.25,11,31,28,6,7,1,0,0,8,1,0,0,0,0,2,0,1,11,1,0.323,0.286,2017
109,友永　翔太,中日,0.25,5,17,16,0,4,2,0,0,6,2,0,1,0,0,0,0,1,4,0,0.294,0.375,2017
109,松本　啓二朗,DeNA,0.25,13,14,12,1,3,0,0,0,3,0,0,0,0,0,0,0,2,2,0,0.357,0.25,2017
109,坂倉　将吾,広島,0.25,3,4,4,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0.25,0.25,2017
109,今井　順之助,日本ハム,0.25,1,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.25,0.25,2017
123,荒木　雅博,中日,0.249,85,267,249,17,62,6,1,0,70,8,5,0,5,0,13,0,0,41,8,0.286,0.281,2017
123,中井　大介,巨人,0.249,90,254,229,32,57,12,1,5,86,15,2,1,4,1,19,0,1,44,5,0.308,0.376,2017
125,田村　龍弘,ロッテ,0.248,132,359,311,31,77,12,3,3,104,36,4,2,17,4,26,0,1,68,7,0.304,0.334,2017
125,嶺井　博希,DeNA,0.248,52,135,121,14,30,3,1,3,44,12,0,0,4,0,4,0,6,35,3,0.305,0.364,2017
125,坂本　誠志郎,阪神,0.248,42,132,113,13,28,5,0,2,39,17,0,0,3,0,15,1,1,32,1,0.341,0.345,2017
128,山田　哲人,ヤクルト,0.247,143,624,526,79,130,25,1,24,229,78,14,4,0,1,91,1,6,132,15,0.364,0.435,2017
129,大城　滉二,オリックス,0.246,122,400,345,28,85,10,1,2,103,21,7,4,35,1,16,0,3,59,6,0.285,0.299,2017
129,石川　雄洋,DeNA,0.246,63,192,167,18,41,7,0,2,54,11,1,1,6,3,12,0,4,41,4,0.306,0.323,2017
131,平田　良介,中日,0.244,66,270,238,26,58,14,2,6,94,29,4,0,0,2,29,0,1,60,4,0.326,0.395,2017
131,井口　資仁,ロッテ,0.244,65,144,123,9,30,7,0,2,43,15,0,0,0,2,19,1,0,27,4,0.34,0.35,2017
131,森野　将彦,中日,0.244,22,48,41,4,10,2,0,0,12,1,0,1,2,0,5,0,0,3,1,0.326,0.293,2017
134,梶谷　隆幸,DeNA,0.243,137,578,511,83,124,27,2,21,218,60,21,3,0,2,62,2,3,157,10,0.327,0.427,2017
134,中村　悠平,ヤクルト,0.243,127,486,419,42,102,14,4,4,136,34,2,1,11,4,42,0,10,65,14,0.324,0.325,2017
134,三好　匠,楽天,0.243,56,115,103,12,25,9,0,1,37,9,0,1,4,1,7,0,0,27,1,0.288,0.359,2017
137,ペーニャ,ロッテ,0.242,70,252,219,24,53,14,0,15,112,38,0,0,0,2,26,0,5,72,8,0.333,0.511,2017
137,石川　慎吾,巨人,0.242,99,251,236,21,57,12,3,5,90,20,2,0,0,0,13,0,2,51,8,0.287,0.381,2017
137,山崎　晃大朗,ヤクルト,0.242,59,246,219,30,53,10,2,1,70,13,6,5,9,0,18,0,0,44,3,0.3,0.32,2017
137,三木　亮,ロッテ,0.242,85,229,207,18,50,9,0,2,65,19,0,1,9,2,8,0,3,55,1,0.277,0.314,2017
141,中谷　将大,阪神,0.241,133,455,411,64,99,21,1,20,182,61,2,1,0,3,36,2,5,96,5,0.308,0.443,2017
141,メヒア,西武,0.241,113,388,345,34,83,18,0,19,158,53,1,0,0,2,37,0,4,100,7,0.32,0.458,2017
141,川﨑　宗則,ソフトバンク,0.241,42,156,137,22,33,10,0,0,43,4,0,2,4,1,11,0,3,37,0,0.309,0.314,2017
144,駿太,オリックス,0.24,129,329,296,29,71,16,7,2,107,27,4,3,13,4,15,1,1,76,3,0.275,0.361,2017
144,寺内　崇幸,巨人,0.24,83,34,25,7,6,3,1,1,14,6,1,0,5,0,3,0,1,8,0,0.345,0.56,2017
146,横尾　俊建,日本ハム,0.239,50,149,134,14,32,3,0,7,56,20,0,0,0,1,11,0,3,45,2,0.309,0.418,2017
146,奥村　展征,ヤクルト,0.239,44,125,113,12,27,4,0,0,31,5,1,1,1,1,9,0,1,33,3,0.298,0.274,2017
148,肘井　竜蔵,ロッテ,0.238,16,21,21,4,5,1,0,0,6,0,0,0,0,0,0,0,0,12,0,0.238,0.286,2017
149,アマダー,楽天,0.237,121,460,417,35,99,9,0,23,177,65,0,1,0,2,39,0,2,102,18,0.304,0.424,2017
149,大山　悠輔,阪神,0.237,75,221,198,25,47,10,2,7,82,38,2,2,1,1,18,0,3,41,4,0.309,0.414,2017
151,渡辺　直人,西武,0.235,32,79,68,3,16,7,0,0,23,3,0,0,4,0,7,0,0,14,2,0.307,0.338,2017
151,工藤　隆人,中日,0.235,82,58,51,12,12,1,0,0,13,0,3,1,4,0,3,1,0,13,1,0.278,0.255,2017
151,磯村　嘉孝,広島,0.235,21,39,34,6,8,2,0,2,16,3,0,0,1,0,3,0,1,8,1,0.316,0.471,2017
151,永江　恭平,西武,0.235,25,19,17,3,4,1,0,1,8,4,0,0,2,0,0,0,0,5,0,0.235,0.471,2017
155,西野　真弘,オリックス,0.234,100,331,282,33,66,11,2,2,87,21,8,4,16,3,24,0,6,46,4,0.305,0.309,2017
155,上田　剛史,ヤクルト,0.234,100,188,167,18,39,1,5,0,50,11,6,3,8,3,8,0,2,26,0,0.272,0.299,2017
157,柴田　竜拓,DeNA,0.233,88,248,215,25,50,8,0,1,61,11,1,1,11,2,17,0,3,50,2,0.295,0.284,2017
157,高橋　周平,中日,0.233,41,148,129,12,30,6,0,2,42,10,0,2,1,3,15,0,0,31,3,0.306,0.326,2017
159,甲斐　拓也,ソフトバンク,0.232,103,257,207,30,48,8,3,5,77,18,4,0,22,0,26,1,2,68,2,0.323,0.372,2017
159,ドレイク,日本ハム,0.232,35,86,82,4,19,2,0,1,24,3,0,0,0,0,3,0,1,22,2,0.267,0.293,2017
161,呉　念庭,西武,0.231,15,44,39,5,9,2,1,0,13,4,1,0,0,1,4,0,0,8,2,0.295,0.333,2017
161,白根　尚貴,DeNA,0.231,12,13,13,2,3,0,0,1,6,2,0,0,0,0,0,0,0,2,0,0.231,0.462,2017
163,井上　晴哉,ロッテ,0.23,35,119,113,5,26,7,0,0,33,11,0,0,0,0,5,0,1,26,2,0.269,0.292,2017
164,レアード,日本ハム,0.229,137,571,503,56,115,18,1,32,231,90,0,0,0,7,54,0,7,125,18,0.308,0.459,2017
164,岡田　雅利,西武,0.229,68,172,144,19,33,6,1,0,41,9,0,0,12,0,10,1,6,28,1,0.306,0.285,2017
166,髙田　知季,ソフトバンク,0.228,58,130,114,10,26,4,2,2,40,8,2,0,9,0,5,0,2,28,0,0.273,0.351,2017
166,西岡　剛,阪神,0.228,32,100,92,6,21,4,0,0,25,5,3,2,0,0,7,0,1,17,0,0.29,0.272,2017
168,大引　啓次,ヤクルト,0.227,80,311,273,25,62,11,0,5,88,29,3,0,10,0,27,0,1,43,8,0.299,0.322,2017
168,武山　真吾,中日,0.227,50,76,66,2,15,1,0,1,19,7,0,0,2,0,7,0,1,21,3,0.311,0.288,2017
170,原口　文仁,阪神,0.226,73,216,186,16,42,12,0,6,72,25,0,0,1,2,22,0,5,36,10,0.321,0.387,2017
170,荒波　翔,DeNA,0.226,47,65,62,8,14,5,0,0,19,1,0,0,0,0,2,0,1,16,1,0.262,0.306,2017
172,遠藤　一星,中日,0.225,50,109,102,4,23,3,1,2,34,11,2,1,2,0,4,0,1,28,1,0.262,0.333,2017
173,福浦　和也,ロッテ,0.224,70,155,134,6,30,7,0,0,37,18,0,0,0,2,18,0,1,25,4,0.316,0.276,2017
174,松井　雅人,中日,0.221,87,244,208,22,46,7,1,2,61,17,0,0,10,1,22,0,3,63,3,0.303,0.293,2017
174,大野　奨太,日本ハム,0.221,83,183,154,13,34,5,0,3,48,13,0,1,8,1,16,0,4,30,1,0.309,0.312,2017
