location,year,gende_gap,Fertility_rates
KOR,1998,42.02184197,1.46
KOR,1999,41.80339811,1.43
KOR,2000,41.65435244,1.48
KOR,2001,40.41614049,1.31
KOR,2002,41.02851279,1.18
KOR,2003,40.08315463,1.19
KOR,2004,39.62354825,1.16
KOR,2005,39.61663236,1.09
KOR,2006,39.77414431,1.13
KOR,2007,38.16206428,1.26
KOR,2008,39.03744173,1.19
KOR,2009,38.6146827,1.15
KOR,2010,39.60585734,1.23
KOR,2011,36.5642295,1.24
KOR,2012,36.29852997,1.3
KOR,2013,36.59963437,1.19
KOR,2014,36.65317614,1.21
KOR,2015,37.17628175,1.24
KOR,2016,36.66666667,1.17
KOR,2017,34.61738256,1.05
KOR,2018,34.10731095,0.98
KOR,2019,32.48044472,0.92
USA,1975,37.63003166,1.77
USA,1976,37.7559727,1.74
USA,1977,38.22485207,1.79
USA,1978,38.97247706,1.76
USA,1979,37.64195057,1.81
USA,1980,36.55215104,1.84
USA,1981,35.17400058,1.81
USA,1982,34.72409152,1.83
USA,1983,34.28645028,1.8
USA,1984,33.43217198,1.81
USA,1985,32.9782197,1.84
USA,1986,32.19021491,1.84
USA,1987,31.02222222,1.87
USA,1988,30.06917423,1.93
USA,1989,29.36357908,2.01
USA,1990,28.45544956,2.08
USA,1991,26.57109191,2.06
USA,1992,25.05773672,2.05
USA,1993,23.87640449,2.02
USA,1994,23.88451444,2
USA,1995,24.57998539,1.98
USA,1996,23.82394868,1.98
USA,1997,23.78649162,1.97
USA,1998,23.7458194,2
USA,1999,23.46278317,2.01
USA,2000,23.08892356,2.06
USA,2001,23.58208955,2.03
USA,2002,22.09131075,2.01
USA,2003,20.57553957,2.04
USA,2004,19.63534362,2.05
USA,2005,18.97506925,2.06
USA,2006,19.24629879,2.11
USA,2007,19.84334204,2.12
USA,2008,20.05012531,2.07
USA,2009,19.78021978,2
USA,2010,18.81067961,1.93
USA,2011,17.78846154,1.89
USA,2012,19.08665105,1.88
USA,2013,17.90697674,1.86
USA,2014,17.45120551,1.86
USA,2015,18.88268156,1.84
USA,2016,18.1420765,1.82
USA,2017,18.17215728,1.77
USA,2018,18.91058582,1.73
USA,2019,18.47070507,1.71
