id,妻の回答,夫の回答,子の回答,回答子,q1.1.1,q1.1.2,q1.2.1,q1.2.2,q1a,q1.3.1,q1.3.2,q1.3.3,q1.3.4,q1.3.5,q1.4.1,q1.4.2,q1.4.3,q1.4.4,q1.4.5,q1.5.1,q1.5.2,q1.5.3,q1.5.4,q1.5.5,q1.6.1,q1.6.2,q1.6.3,q1.6.4,q1.6.5,q2,q3,q4
1211,1,1,1,1,2,44,1,44,1,1,18,5,1,2, , , , , , , , , , , , , , , ,22,1,44
1212,1,1,1,1,2,44,1,48,1,1,14,4,1,2, , , , , , , , , , , , , , , ,17,4,18
1213,1,1,1,1,2,36,1,35,1,2,9,3,1,2, , , , , , , , , , , , , , , ,12,4,3
1214,1,1,1,1,2,36,1,40,1,2,9,3,1,2, , , , , , , , , , , , , , , ,13,1,36
1217,1,1,1,1,2,43,1,48,1,1,13,4,1,2, , , , , , , , , , , , , , , ,14,1,14
1218,1,1,1,1,2,40,1,39,1,1,9,3,1,2, , , , , , , , , , , , , , , ,10,1,10
1222,1,1,1,1,2,44,1,44,2,1,16,5,1,2,2,13,4,1,2, , , , , , , , , , ,20,1,18
1301,1,1, , ,2,36,1,37,1,1,3,1,1,2, , , , , , , , , , , , , , , ,11,4,4
1302,1,1,1,1,2,42,1,45,3,1,17,5,1,2,2,15,5,1,2,2,7,2,1,2, , , , , ,18,4,18
1304,1,1,1,1,2,43,1,46,3,1,16,5,1,2,2,14,4,1,2,1,10,3,1,2, , , , , ,18,1,46
1305,1,1, , ,2,35,1,36,3,2,7,2,1,2,1,4,1,1,2,2,1,1,1,2, , , , , ,9,1,10
1306,1,1,1,1,2,40,1,44,1,1,13,4,1,2, , , , , , , , , , , , , , , ,19,1,44
1311,1,1,1,1,2,37,1,44,1,2,10,3,1,2, , , , , , , , , , , , , , , ,11,4,11
1313,1,1, , ,2,42,1,38,0, , , , , , , , , , , , , , , , , , , , ,5,4,5
1317,1,1,1,1,2,42,1,45,2,2,12,3,1,2,2,7,2,1,2, , , , , , , , , , ,17,1,12
1318,1,1,1,1,2,36,1,37,2,1,12,3,1,2,1,9,2,1,2, , , , , , , , , , ,13,1,36
1403,1,1,1,2,2,44,1,50,2,1,20,6,1,2,1,18,5,1,2, , , , , , , , , , ,21,3,1
